"","user","artist","track","rating","gender","age","profession","region","importanceOfMusic","ownArtistMusic","likeArtist"
"4318",1788,3,9,29,"1",65,"Retired from full-time employment (30+ hours per week)","South","1","0",30
"4319",1788,3,10,49,"1",65,"Retired from full-time employment (30+ hours per week)","South","1","0",30
"4324",1790,1,5,34,"0",23,"Full-time housewife / househusband","North","1","1",52
"4325",1790,3,10,35,"0",23,"Full-time housewife / househusband","North","1","1",34
"4326",1790,4,12,53,"0",23,"Full-time housewife / househusband","North","1","1",43
"4327",1790,4,11,29,"0",23,"Full-time housewife / househusband","North","1","1",43
"4350",1797,4,12,49,"1",14,"Employed 8-29 hours per week","North","1","0",51
"4351",1797,4,11,51,"1",14,"Employed 8-29 hours per week","North","1","0",51
"4357",1799,4,12,31,"0",20,"Full-time student","Midlands","2","0",48
"4358",1799,4,11,29,"0",20,"Full-time student","Midlands","2","0",48
"4367",1801,4,12,51,"0",36,"Employed 30+ hours a week","South","1","1",73
"4368",1801,4,11,65,"0",36,"Employed 30+ hours a week","South","1","1",73
"4378",1805,1,4,21,"0",19,"Full-time student","North","1","0",12
"4379",1805,1,6,34,"0",19,"Full-time student","North","1","0",12
"4393",1810,1,4,39,"1",73,"Retired from full-time employment (30+ hours per week)","North","1","0",12
"4404",1813,4,12,32,"1",45,"Self-employed","Midlands","1","1",52
"4405",1813,4,11,27,"1",45,"Self-employed","Midlands","1","1",52
"4406",1814,1,4,71,"0",64,"Full-time housewife / househusband","North","1","0",88
"4407",1814,1,5,65,"0",64,"Full-time housewife / househusband","North","1","0",88
"4408",1814,1,6,51,"0",64,"Full-time housewife / househusband","North","1","0",88
"4418",1817,4,12,28,"1",67,"Retired from full-time employment (30+ hours per week)","North","1","1",69
"4419",1817,4,11,48,"1",67,"Retired from full-time employment (30+ hours per week)","North","1","1",69
"4421",1819,1,4,63,"0",67,"Retired from full-time employment (30+ hours per week)","South","1","0",36
"4422",1819,1,5,53,"0",67,"Retired from full-time employment (30+ hours per week)","South","1","0",36
"4423",1819,1,6,52,"0",67,"Retired from full-time employment (30+ hours per week)","South","1","0",36
"4428",1820,4,12,36,"1",13,"Other","North","2","1",57
"4429",1821,1,5,69,"1",71,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",28
"4430",1821,1,6,71,"1",71,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",28
"4433",1821,4,11,32,"1",71,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",51
"4441",1824,4,12,70,"0",71,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",71
"4442",1824,4,11,71,"0",71,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",71
"4456",1827,4,12,73,"1",69,"Retired from self-employment","North","0","1",71
"4457",1827,4,11,70,"1",69,"Retired from self-employment","North","0","1",71
"4464",1829,3,9,29,"1",13,"Other","South","2","0",29
"4475",1832,1,5,70,"0",67,"Full-time housewife / househusband","North","1","0",18
"4477",1832,4,12,88,"0",67,"Full-time housewife / househusband","North","1","2",79
"4478",1833,1,6,22,"1",20,"Employed 30+ hours a week","Midlands","1","0",1
"4479",1833,1,5,15,"1",20,"Employed 30+ hours a week","Midlands","1","0",1
"4480",1833,1,4,18,"1",20,"Employed 30+ hours a week","Midlands","1","0",1
"4481",1833,4,11,17,"1",20,"Employed 30+ hours a week","Midlands","1","0",7
"4482",1833,4,12,34,"1",20,"Employed 30+ hours a week","Midlands","1","0",7
"4486",1834,4,12,79,"0",13,"Prefer not to state","South","1","2",100
"4503",1838,4,12,53,"1",14,"Full-time student","Midlands","1","1",50
"4509",1840,1,6,50,"1",67,"Retired from full-time employment (30+ hours per week)","North","2","0",52
"4518",1842,4,11,70,"1",77,"Retired from full-time employment (30+ hours per week)","North","1","2",92
"4519",1842,4,12,10,"1",77,"Retired from full-time employment (30+ hours per week)","North","1","2",92
"4534",1846,4,12,29,"0",65,"Retired from full-time employment (30+ hours per week)","North","1","0",30
"4539",1847,4,12,49,"1",65,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",52
"4540",1847,4,11,71,"1",65,"Retired from full-time employment (30+ hours per week)","Midlands","1","1",52
"4556",1852,1,5,10,"1",13,"Full-time student","Midlands","1","0",9
"4557",1852,1,6,11,"1",13,"Full-time student","Midlands","1","0",9
"4560",1852,5,13,25,"1",13,"Full-time student","Midlands","1","0",35
"4570",1857,1,5,89,"1",79,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",29
"4571",1857,4,12,29,"1",79,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",29
"4574",1858,4,11,88,"0",65,"Other","Midlands","1","2",68
"4575",1858,4,12,70,"0",65,"Other","Midlands","1","2",68
"4585",1861,3,10,48,"0",14,"Full-time student","South","1","0",48
"4586",1861,3,9,48,"0",14,"Full-time student","South","1","0",48
"4592",1863,1,6,14,"0",19,"Full-time student","Midlands","1","0",33
"4593",1863,1,4,5,"0",19,"Full-time student","Midlands","1","0",33
"4594",1863,2,7,6,"0",19,"Full-time student","Midlands","1","0",8
"4600",1864,4,11,46,"0",69,"Retired from full-time employment (30+ hours per week)","North","1","0",30
"4604",1866,1,4,30,"0",72,"Other","North","1","0",29
"4605",1866,1,6,70,"0",72,"Other","North","1","0",29
"4610",1867,4,12,71,"1",67,"Retired from self-employment","North","1","2",49
"4632",1872,4,11,91,"0",74,"Full-time housewife / househusband","Midlands","1","1",59
"4633",1872,4,12,31,"0",74,"Full-time housewife / househusband","Midlands","1","1",59
"4647",1875,4,12,36,"0",65,"Self-employed","Midlands","1","0",42
"4652",1876,4,12,51,"1",66,"Retired from full-time employment (30+ hours per week)","North","1","2",50
"4653",1876,4,11,52,"1",66,"Retired from full-time employment (30+ hours per week)","North","1","2",50
"4664",1880,1,6,34,"0",24,"Employed 30+ hours a week","Midlands","1","0",49
"4670",1881,4,12,36,"1",68,"Self-employed","Midlands","1","1",47
"4674",1882,4,11,53,"1",65,"Retired from full-time employment (30+ hours per week)","North","2","1",68
"4675",1882,4,12,51,"1",65,"Retired from full-time employment (30+ hours per week)","North","2","1",68
"4688",1885,1,4,29,"1",67,"Retired from full-time employment (30+ hours per week)","North","2","1",8
"4696",1887,4,12,60,"1",70,"Employed part-time less than 8 hours per week","South","1","2",69
"4697",1887,4,11,65,"1",70,"Employed part-time less than 8 hours per week","South","1","2",69
"4702",1888,4,11,49,"1",18,"Part-time student","North","2","3",100
"4704",1889,4,12,87,"0",15,"Full-time student","North","2","0",51
"4705",1889,4,11,88,"0",15,"Full-time student","North","2","0",51
"4706",1889,5,13,29,"0",15,"Full-time student","North","2","0",26
"4711",1891,4,12,10,"0",66,"Retired from full-time employment (30+ hours per week)","Midlands","1","0",69
"4758",1904,4,12,48,"1",14,"Full-time student","North","1","0",50
"4763",1905,4,12,85,"1",66,"Retired from self-employment","South","1","2",76
"4769",1907,4,12,10,"1",72,"Retired from full-time employment (30+ hours per week)","South","1","0",30
"4782",1911,1,4,72,"0",66,"Retired from full-time employment (30+ hours per week)","North","1","0",48
"4783",1911,1,6,49,"0",66,"Retired from full-time employment (30+ hours per week)","North","1","0",48
"4784",1911,1,5,50,"0",66,"Retired from full-time employment (30+ hours per week)","North","1","0",48
"4785",1911,3,9,48,"0",66,"Retired from full-time employment (30+ hours per week)","North","1","0",50
"4786",1911,4,11,90,"0",66,"Retired from full-time employment (30+ hours per week)","North","1","2",92
"4788",1912,3,10,51,"0",13,"Other","North","2","0",38
